data
"{""restaurantId"":1,""name"":""Cortney's Diner"",""price"":3,""category"":""Vietnamese, Soup"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/971.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":2,""name"":""Jonathon's Steak House"",""price"":3,""category"":""Cafes, Bubble Tea"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/545.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":3,""name"":""Torrance's Eatery"",""price"":3,""category"":""Caterers, BBQ"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/668.jpg"",""heart"":false,""super_rated"":true}"
"{""restaurantId"":4,""name"":""Fredrick's Bar"",""price"":2,""category"":""Vietnamese, Soup"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/683.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":5,""name"":""Haley's Pizza House"",""price"":2,""category"":""Bubble Tea"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/314.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":6,""name"":""Beulah's Sandwiches"",""price"":2,""category"":""Vietnamese, Soup"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/223.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":7,""name"":""Cristal's Diner"",""price"":1,""category"":""Vietnamese, Soup"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/577.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":8,""name"":""Enrique's Bistro"",""price"":3,""category"":""Seafood, Vietnamese"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/765.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":9,""name"":""Priscilla's Restaurant"",""price"":2,""category"":""Japanese, Sushi Bars"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/586.jpg"",""heart"":false,""super_rated"":true}"
"{""restaurantId"":10,""name"":""David's Cafe"",""price"":3,""category"":""Coffee & Tea"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/750.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":11,""name"":""William's Pizza House"",""price"":2,""category"":""Sushi Bars, Asian Fusion"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/250.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":12,""name"":""Wilburn's Joint"",""price"":3,""category"":""Korean, BBQ"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/27.jpg"",""heart"":false,""super_rated"":true}"
"{""restaurantId"":13,""name"":""Alva's Sandwiches"",""price"":2,""category"":""Cocktail Bars"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/304.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":14,""name"":""Easton's Diner"",""price"":2,""category"":""Wine Bars"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/378.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":15,""name"":""Garett's Canteen"",""price"":3,""category"":""Seafood, Cajun"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/488.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":16,""name"":""Kareem's Diner"",""price"":3,""category"":""Japanese, Sushi Bars"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/193.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":17,""name"":""Ramona's Joint"",""price"":1,""category"":""Korean, BBQ, Soup"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/445.jpg"",""heart"":false,""super_rated"":false}"
"{""restaurantId"":18,""name"":""Justice's Steak House"",""price"":3,""category"":""Burgers"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/589.jpg"",""heart"":false,""super_rated"":true}"
"{""restaurantId"":19,""name"":""Karianne's Cafe"",""price"":2,""category"":""Vietnamese, Soup"",""displayImgURL"":""https://hrsf130-restaurants.s3-us-west-1.amazonaws.com/636.jpg"",""heart"":false,""super_rated"":true}"
